"","lat","lon","elevation","time","t","delta.lat","delta.lon"
"1",39.189586,-96.579581,324.735994549468,2024-02-06 12:27:52,0,0,0
"2",39.189586,-96.579581,324.722761410289,2024-02-06 12:27:53,1,0,0
"3",39.189582,-96.579579,324.714868531562,2024-02-06 12:27:54,2,-3.9999999970064e-06,2.00000000916134e-06
"4",39.189576,-96.579576,324.70492835436,2024-02-06 12:27:55,3,-9.99999999606871e-06,5.00000000158707e-06
"5",39.18957,-96.579571,324.694066987373,2024-02-06 12:27:56,4,-1.5999999995131e-05,1.00000000031741e-05
"6",39.189564,-96.579566,324.681601475924,2024-02-06 12:27:57,5,-2.20000000012988e-05,1.50000000047612e-05
"7",39.189557,-96.579561,324.668367302045,2024-02-06 12:27:58,6,-2.89999999978363e-05,2.00000000063483e-05
"8",39.18955,-96.579553,324.654475074261,2024-02-06 12:27:59,7,-3.60000000014793e-05,2.80000000003611e-05
"9",39.189544,-96.579545,324.639534501359,2024-02-06 12:28:00,8,-4.20000000005416e-05,3.60000000085847e-05
"10",39.189538,-96.579537,324.622257372364,2024-02-06 12:28:01,9,-4.79999999996039e-05,4.40000000025975e-05
"11",39.189531,-96.579529,324.604021801613,2024-02-06 12:28:02,10,-5.49999999961415e-05,5.20000000108212e-05
"12",39.189524,-96.57952,324.584783807397,2024-02-06 12:28:03,11,-6.19999999997844e-05,6.10000000023092e-05
"13",39.189517,-96.579511,324.564545482397,2024-02-06 12:28:04,12,-6.8999999996322e-05,7.00000000080081e-05
"14",39.18951,-96.579502,324.542625529692,2024-02-06 12:28:05,13,-7.5999999999965e-05,7.89999999994961e-05
"15",39.189503,-96.579493,324.517891784199,2024-02-06 12:28:06,14,-8.29999999965025e-05,8.8000000005195e-05
"16",39.189495,-96.579484,324.490889153443,2024-02-06 12:28:07,15,-9.09999999976208e-05,9.70000000108939e-05
"17",39.189487,-96.579473,324.460524144582,2024-02-06 12:28:08,16,-9.8999999998739e-05,0.000108000000011543
"18",39.189479,-96.579462,324.426474794745,2024-02-06 12:28:09,17,-0.000106999999999857,0.000118999999997982
"19",39.189471,-96.579452,324.38784560468,2024-02-06 12:28:10,18,-0.000115000000000975,0.000129000000001156
"20",39.189463,-96.579441,324.344519702718,2024-02-06 12:28:11,19,-0.000122999999994988,0.000140000000001805
"21",39.189454,-96.579432,324.296304597519,2024-02-06 12:28:12,20,-0.000132000000000687,0.000149000000007504
"22",39.189445,-96.579423,324.242896689102,2024-02-06 12:28:13,21,-0.000140999999999281,0.000157999999998992
"23",39.189435,-96.579414,324.184413547628,2024-02-06 12:28:14,22,-0.000150999999995349,0.000167000000004691
"24",39.189426,-96.579405,324.119944588281,2024-02-06 12:28:15,23,-0.000160000000001048,0.00017600000001039
"25",39.189418,-96.579395,324.048231656663,2024-02-06 12:28:16,24,-0.000167999999995061,0.000185999999999353
"26",39.189412,-96.579383,323.968991515227,2024-02-06 12:28:17,25,-0.000174000000001229,0.000197999999997478
"27",39.189406,-96.57937,323.885734055191,2024-02-06 12:28:18,26,-0.000180000000000291,0.000211000000007289
"28",39.189401,-96.579356,323.801879892126,2024-02-06 12:28:19,27,-0.000185000000001878,0.000225000000000364
"29",39.189396,-96.579342,323.713038939051,2024-02-06 12:28:20,28,-0.00018999999999636,0.00023900000000765
"30",39.189392,-96.579327,323.618425836787,2024-02-06 12:28:21,29,-0.000194000000000472,0.0002539999999982
"31",39.189389,-96.579312,323.514843499288,2024-02-06 12:28:22,30,-0.000197000000000003,0.000269000000002961
"32",39.189385,-96.579297,323.421505082399,2024-02-06 12:28:23,31,-0.000200999999997009,0.000284000000007723
"33",39.18938,-96.579284,323.328547754325,2024-02-06 12:28:24,32,-0.000205999999998596,0.000297000000003322
"34",39.189375,-96.57927,323.234391163103,2024-02-06 12:28:25,33,-0.000211000000000183,0.000311000000010608
"35",39.189369,-96.579257,323.141214216128,2024-02-06 12:28:26,34,-0.000216999999999246,0.000324000000006208
"36",39.189362,-96.579244,323.054583668709,2024-02-06 12:28:27,35,-0.000223999999995783,0.000337000000001808
"37",39.189352,-96.579232,322.955692009069,2024-02-06 12:28:28,36,-0.000233999999998957,0.000348999999999933
"38",39.189343,-96.57922,322.849646124989,2024-02-06 12:28:29,37,-0.000242999999997551,0.000360999999998057
"39",39.189333,-96.579209,322.737145879306,2024-02-06 12:28:30,38,-0.000253000000000725,0.000371999999998707
"40",39.189323,-96.579199,322.619480491616,2024-02-06 12:28:31,39,-0.000262999999996794,0.000382000000001881
"41",39.189313,-96.579188,322.492633862421,2024-02-06 12:28:32,40,-0.000272999999999968,0.00039300000000253
"42",39.189304,-96.579178,322.37287492957,2024-02-06 12:28:33,41,-0.000281999999998561,0.000403000000005704
"43",39.189294,-96.579167,322.256843893789,2024-02-06 12:28:34,42,-0.000292000000001735,0.000414000000006354
"44",39.189285,-96.579155,322.141710857861,2024-02-06 12:28:35,43,-0.000301000000000329,0.000426000000004478
"45",39.189276,-96.579142,322.021263555624,2024-02-06 12:28:36,44,-0.000309999999998922,0.000439000000000078
"46",39.189267,-96.579129,321.905233226717,2024-02-06 12:28:37,45,-0.000318999999997516,0.000452000000009889
"47",39.189259,-96.579117,321.77724575717,2024-02-06 12:28:38,46,-0.000326999999998634,0.000464000000008014
"48",39.18925,-96.579106,321.64183121454,2024-02-06 12:28:39,47,-0.000335999999997227,0.000475000000008663
"49",39.189241,-96.579096,321.525998111814,2024-02-06 12:28:40,48,-0.000344999999995821,0.000484999999997626
"50",39.189232,-96.579088,321.406820570119,2024-02-06 12:28:41,49,-0.00035400000000152,0.00049300000000585
"51",39.189223,-96.579081,321.288408923894,2024-02-06 12:28:42,50,-0.000363000000000113,0.000500000000002387
"52",39.189215,-96.579074,321.174645719118,2024-02-06 12:28:43,51,-0.000371000000001231,0.000506999999998925
"53",39.189206,-96.579066,321.052334451117,2024-02-06 12:28:44,52,-0.000379999999999825,0.000515000000007149
"54",39.189197,-96.579057,320.942214298993,2024-02-06 12:28:45,53,-0.000388999999998418,0.000523999999998637
"55",39.189189,-96.579047,320.825785298832,2024-02-06 12:28:46,54,-0.000396999999999537,0.000534000000001811
"56",39.189181,-96.579038,320.708955829032,2024-02-06 12:28:47,55,-0.000405000000000655,0.00054300000000751
"57",39.189173,-96.579029,320.601235850714,2024-02-06 12:28:48,56,-0.000413000000001773,0.000551999999998998
"58",39.189164,-96.57902,320.508024389856,2024-02-06 12:28:49,57,-0.000422000000000367,0.000561000000004697
"59",39.189155,-96.579011,320.42669965513,2024-02-06 12:28:50,58,-0.00043099999999896,0.000570000000010396
"60",39.189145,-96.579002,320.369163917378,2024-02-06 12:28:51,59,-0.000440999999995029,0.000579000000001884
"61",39.189136,-96.578994,320.321751529351,2024-02-06 12:28:52,60,-0.000450000000000728,0.000587000000010107
"62",39.189126,-96.578987,320.274927052669,2024-02-06 12:28:53,61,-0.000459999999996796,0.000594000000006645
"63",39.189117,-96.578981,320.224682661705,2024-02-06 12:28:54,62,-0.00046899999999539,0.000600000000005707
"64",39.189107,-96.578974,320.168719500303,2024-02-06 12:28:55,63,-0.000478999999998564,0.000607000000002245
"65",39.189097,-96.578968,320.121271125972,2024-02-06 12:28:56,64,-0.000489000000001738,0.000613000000001307
"66",39.189087,-96.578963,320.081645716913,2024-02-06 12:28:57,65,-0.000498999999997807,0.000618000000002894
"67",39.189077,-96.578959,320.037162477151,2024-02-06 12:28:58,66,-0.000509000000000981,0.000622000000007006
"68",39.189066,-96.578956,319.983890198171,2024-02-06 12:28:59,67,-0.00052000000000163,0.000624999999999432
"69",39.189055,-96.578954,319.941797406413,2024-02-06 12:29:00,68,-0.000530999999995174,0.000627000000008593
"70",39.189043,-96.578953,319.897482936271,2024-02-06 12:29:01,69,-0.000543000000000404,0.000628000000006068
"71",39.189029,-96.578952,319.860247236677,2024-02-06 12:29:02,70,-0.000557000000000585,0.000629000000003543
